index,Parameter Name,J (MeV),L (MeV),K (MeV),m*/m,J-J_calc,L-L_calc,K-K_Calc
1,YBZ1,-29.146738541548483,-20.884412707742385,390.37901458451523,0.806007030318419,-3.552713678800501e-15,-7.871996388075786e-10,1.976900421141181e-9
2,YBZ2,-26.745858541548483,15.118227292257615,563.1790145845152,0.806007030318419,-3.552713678800501e-15,-7.85945530878962e-10,1.4587158148060553e-9
3,YBZ3,-33.44280254154848,-91.3726047077424,44.779014584515224,0.806007030318419,0.0,-7.855476269469364e-10,3.2178562037188385e-9
4,YBZ4,-31.519098541548477,-85.60149270774238,44.779014584515224,0.806007030318419,0.0,-7.874803031882038e-10,3.115538049769384e-9
5,YBZ5,-28.498584000000005,-27.895752,345.6,1.0,-3.552713678800501e-15,1.0764722446765518e-12,-5.247215995041188e-10
6,YBZ6,-29.489565499797397,-15.515891498986988,422.3640250020261,0.7079139393388916,-3.552713678800501e-15,-1.349208744727548e-9,4.377682216727408e-9
7,SKSH1,-27.886032551379547,-82.95016275689773,3.5396744862045386,0.9813297168176203,0.0,-6.420464160328265e-11,4.992473101594896e-10
8,SKSH2,-28.580294647220644,-32.34147323610324,320.27705352779356,0.9968011459419177,0.0,-1.3230305739853065e-11,5.2580162446247414e-11
9,LY1,-29.25258472010971,-39.799520648495985,197.37700251545974,0.870325930035966,0.0,-9.00861607533443e-9,2.8315525923972018e-8
10,LY2,-31.394580268179773,-41.79832354300231,223.87095370938744,0.7219724791618326,0.0,-8.907576898309344e-9,3.009208171533828e-8
11,LY3,-31.797042552773682,-24.72952848955282,289.9816257244895,0.8353300294465547,0.0,-1.3367742468517463e-8,4.786369345310959e-8
12,LY4,-29.77729588922721,-36.23735600604485,217.8369017530388,0.8720656886070068,0.0,-1.0047088494502532e-8,3.6267692848923616e-8
13,HPL1,-30.167305992308464,-44.534117716742344,270.3443588353153,0.8719907358886242,0.0,-4.758717864206119e-10,2.9117472877260298e-9
14,HPL2,-31.229966446101542,-46.10177981450771,277.43599774698464,0.821362718140617,0.0,-7.13271219865419e-10,1.485432221670635e-9
15,HPL3,-31.31365027468962,-61.52273041168735,136.8549238261921,0.8382125768752924,0.0,-5.701842553662573e-9,1.992651732507511e-8
16,HPL4,-30.865233590626136,-57.35024063960769,147.64905197773422,0.8480477400000312,0.0,-6.331127622161148e-9,2.036972546193283e-8
17,NL1,-29.497308553511314,-22.82271136166858,388.5955665119908,0.872864647821284,0.0,-4.758824445616483e-10,4.304752110328991e-10
18,OL1,-28.306221444963292,-49.230631723856405,213.78794339004716,0.990938700968153,0.0,-2.651745489856694e-11,-3.4910385693365242e-9
19,NL2,-29.727255731223792,-39.05608286390242,205.80092208554396,0.875360253564529,0.0,-9.471833095631155e-9,2.8026676091030822e-8
20,OL2,-28.265144250037633,-59.172612650158584,102.34494257757827,1.003948303819325,0.0,-5.165070149359963e-9,1.9237461401644396e-8
21,KIDS0,-16.00529819545168,43.34462202972054,430.05522977313274,0.8867220092429258,3.552713678800501e-15,-1.119468606702867e-8,3.973474349550088e-8
22,KIDSA,-18.456948362026694,35.91565360934638,475.0260350471152,0.8292859663078787,0.0,-7.796352008426766e-9,3.052059582842048e-8
23,KIDSB,-14.645431107661416,43.56769385232059,404.176697238386,0.9077158229428768,-1.7763568394002505e-15,-1.169265573253142e-8,4.8412630349048413e-8
24,KIDSC,-16.825227044110434,45.413686480059795,452.6852634470175,0.8475377919296044,0.0,-1.0937974082025903e-8,3.1667525490775006e-8
25,KIDSD,-17.44657063625955,35.30052285992508,402.0244324216395,0.8719297199459909,3.552713678800501e-15,-1.1224472018511733e-8,3.864380460072425e-8
26,LY1_a3zero,-29.25258472010971,-39.799520648495985,197.37700251545974,0.870325930035966,0.0,-9.00861607533443e-9,2.8315525923972018e-8
27,GKW2_medium,-33.9000000014331,-2.1000000196515884,355.59999992285185,1.0,0.0,-2.484635786004219e-8,7.533594725828152e-8
28,GKW3_medium,-29.540000010584322,12.339999952098708,504.63999992933464,1.0,0.0,-8.893508152141294e-9,2.7758346732298378e-8
29,GKW2+MD1_medium,-31.680423153109253,-40.29391937555309,391.5554344138983,0.7715455264705736,7.105427357601002e-15,8.496542136526841e-9,-2.6987834189640125e-8
30,GKW3+MD2_medium,-29.08609462432732,-3.8116303478344378,529.7899803590706,0.7519293994617016,-3.552713678800501e-15,5.373166800382023e-9,-1.9663957573357038e-8
31,GKW3+MD3_medium,-28.445392702206988,-7.539870758786996,523.3321112133316,0.7269971451423723,0.0,8.337131873759063e-9,-2.4662540454301052e-8
32,GKW2_medium(rho1.5),-33.45175007289049,-23.54702627808129,415.0461639836121,1.0,0.0,-3.250011815225662e-9,9.543668966216501e-9
33,GKW3_medium(rho1.5),-30.033639506033744,9.317630301436793,532.3299963485044,1.0,-7.105427357601002e-15,-4.763180072586692e-9,1.509636149421567e-8
34,GKW2_medium(rho1.5)+Kohno2(k1.0),-33.451750080881865,-23.547026325249476,415.04616385973384,0.727551943637014,-7.105427357601002e-15,-3.2522962101211306e-9,1.0595897492748918e-8
35,GKW3_medium(rho1.5)+Kohno3(k1.0),-30.033639499048085,9.317630335451724,532.3299964119681,0.6707485587939874,0.0,-4.767116479342803e-9,1.4611259757657535e-8
36,GKW3_medium(rho1.5)_a3L30,-30.033639506033744,9.317630301436793,532.3299963485044,1.0,-7.105427357601002e-15,-4.763180072586692e-9,1.509636149421567e-8
37,GKW3_medium(rho1.5)_a3L60,-30.033639506033744,9.317630301436793,532.3299963485044,1.0,-7.105427357601002e-15,-4.763180072586692e-9,1.509636149421567e-8
38,GKW3_medium(rho1.5)_a3L90,-30.033639506033744,9.317630301436793,532.3299963485044,1.0,-7.105427357601002e-15,-4.763180072586692e-9,1.509636149421567e-8
39,GKW3_medium(rho1.5)+Kohno3(k1.0)_a3L30,-30.033639501180417,9.31763032479006,532.3299963906446,0.6707485588455515,-7.105427357601002e-15,-4.767230166180525e-9,2.1936784833087586e-8
40,GKW3_medium(rho1.5)+Kohno3(k1.0)_a3L60,-30.033639499048085,9.317630335451724,532.3299964119681,0.6707485587939874,0.0,-4.767116479342803e-9,1.4611259757657535e-8
41,GKW3_medium(rho1.5)+Kohno3(k1.0)_a3L90,-30.033639499048085,9.317630335451724,532.3299964119681,0.6707485587939874,0.0,-4.767116479342803e-9,1.4611259757657535e-8
42,GKW2_medium(rho1.5)+Kohno2(k1.5),-33.451746832079664,-23.547097228254458,415.04579327368526,0.73486123622683,0.0,-3.2528504334550234e-9,8.213476121454732e-9
43,GKW3_medium(rho1.5)+Kohno3(k1.5),-30.03362721876384,9.317727065280565,532.3302667693627,0.6975962608528855,0.0,-4.762853222928243e-9,2.043100266746478e-8
44,GKW3_medium(rho1.5)+Kohno3(k1.5)_a3L30,-30.03362721876384,9.317727065280565,532.3302667693627,0.6975962608528855,0.0,-4.762853222928243e-9,2.043100266746478e-8
45,GKW3_medium(rho1.5)+Kohno3(k1.5)_a3L60,-30.03362721876384,9.317727065280565,532.3302667693627,0.6975962608528855,0.0,-4.762853222928243e-9,2.043100266746478e-8
46,GKW3_medium(rho1.5)+Kohno3(k1.5)_a3L90,-30.03362721876384,9.317727065280565,532.3302667693627,0.6975962608528855,0.0,-4.762853222928243e-9,2.043100266746478e-8
